"logFC" "logCPM" "LR" "PValue" "FDR" "gene_name" "gene_type"
"ENSG00000095932" -1.96255879129069 4.82415750781651 22.8919555936205 1.71367546161938e-06 1.1397605887183e-05 "SMIM24" "protein_coding"
"ENSG00000095970" 1.62388538771377 5.23943617757544 37.9679506132176 7.1916338046681e-10 8.62734629025964e-09 "TREM2" "protein_coding"
"ENSG00000097046" 2.09711169282601 5.31925372676999 131.816186461772 1.64134567862938e-30 2.28285400306227e-28 "CDC7" "protein_coding"
"ENSG00000099769" -3.17927724764111 6.43935025912619 146.734249606859 8.97069173133117e-34 1.63640743989474e-31 "IGFALS" "protein_coding"
"ENSG00000099812" 2.80627513964973 3.50063102527882 12.7166349124268 0.000362417313939779 0.00146667903158617 "MISP" "protein_coding"
"ENSG00000099822" 3.95075588325811 1.47833648708458 55.2373611411988 1.06818949442548e-13 2.31777327179553e-12 "HCN2" "protein_coding"
"ENSG00000099869" 2.71733351364962 1.04976659610447 9.93550654477923 0.00162120815709253 0.00557781037916936 "IGF2-AS" "lncRNA"
"ENSG00000099953" 3.696509752581 5.29201924827656 129.922907159428 4.26005950845874e-30 5.66463077716339e-28 "MMP11" "protein_coding"
"ENSG00000099960" -1.75827308234883 -0.747153433451007 10.4425727385278 0.00123143624756914 0.00436589190575324 "SLC7A4" "protein_coding"
"ENSG00000100156" 2.01432448612807 -0.404601175549914 20.1881640217586 7.01858616379227e-06 4.14548806267203e-05 "SLC16A8" "protein_coding"
"ENSG00000100162" 3.62899224934991 3.99302534539744 171.725082126308 3.10743605782879e-39 8.74442142133667e-37 "CENPM" "protein_coding"
"ENSG00000100167" 3.20088333773143 3.23953211569243 79.950521191326 3.83903878667121e-19 1.61110921381447e-17 "SEPTIN3" "protein_coding"
"ENSG00000100170" -1.84753875049759 5.03690439264957 15.7152514052799 7.36280988691144e-05 0.00035108020715194 "SLC5A1" "protein_coding"
